artist,title,genre,cluster,track_index,nn_distance
l_go,el_ritmo_de_verdad_swag_s_machacado_dub,groovy_jazz,22,204,8.385766790711516
nachtbraker,backstabber_original_mix,groovy_banger,22,205,8.640140440291841
me_gudrun_gut,gerne_feat_gudrun_gut_original_mix,house_dark,22,206,8.982560565306917
michael_mattis,holy_moly_original_mix,vibe_th_stroke,22,207,8.262538283344503
format_b,chunky_club_mix_club_mix,deep_house_pop,22,208,8.354464270682879
moloko,sing_it_back_herbert_s_tasteful_dub,tech_house_classic,22,209,8.925633391618744
scissor_sisters,filthy_gorgeous_extended_original,groovy_banger,22,210,8.797163509903994
basement_jaxx,make_me_sweat_original_mix,tech_house_groovy,22,211,8.39482246736738
emilie_nana,wild_sensations,house_euphoric,22,212,8.695848645158561
dbbd,boyfriendz,house_getto,22,213,9.480305142678151
luciid,acid_breaker_original,techno_acid,22,214,9.098832935853173
jay_lumen,asteroid,techno_wobble,22,215,8.657204757973469
maceo_plex_maars,mutant_disco,techno_groovy,22,216,8.189246657254873
robosonic_thabo_getsome,juicy,tech_house_groovy,22,217,8.362090384584047
john_monkman_pete_tong,the_bumps_pleasurekraft_remix,vibe_th_format,22,218,7.939529832323951
wongo,robots_machines_original_mix,tech_house_wobble,22,219,8.543766488092372
rebuke,take_that_back_josh_butler_remix,vibe_h_kinky,22,220,8.960885158870523
oliver_oliver,dope_original_mix,techno_bouncy,22,221,9.478832258742987
dense_pika,klank,techno_heavy,22,222,10.55087616978886
justin_martin,ruff_stuff_mele_remix,vibe_h_martin,22,223,9.039037929184603
david_penn,nobody_club_mix,groovy_deep,22,224,8.788972602117784
the_tribe_of_good,loving_you_baby_weiss_remix,groovy_soul,22,225,9.107469445292953
cour_t,2d5,tech_house_new,22,226,9.327652527744961
late_eighties,abba_zabba,tech_house_euphoric,22,227,8.587815974720183
enrico_sangiuliano,a_further_existence,techno_heavy,22,228,9.498050536464293
julio_navas,organic_ed_is_dead_remix,techno_dark,22,229,8.850692163121995
dominik_eulberg,adler_heimische_gefilde_edit,chill_groovy,22,230,9.697387570361547
nice7,time_to_get_physical,groovy_classic,22,231,10.153184815457472
endor,fur_extended_mix,tech_house_caveman,22,232,9.84922133378002
chapter_verse,step_into_it_original_mix,vibe_th_walker,22,233,10.393583309574623
retromigration,heat_it_up,groovy_jazz,22,234,8.27791312661776
crookers,get_my_mind_right_feat_mike_city_way_more_than_a_dub_mix,vibe_g_swindle,22,235,8.373637112213837
